id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
0b77d8ac8297ec79ea9f6091c882ca155a262adf,Supplementary material for : How transferable are features in deep neural networks ?,J. Yosinski; J. Clune; Yoshua Bengio; Hod Lipson,,2014,2,7,0,,https://www.semanticscholar.org/paper/0b77d8ac8297ec79ea9f6091c882ca155a262adf
1230423dd04e788ba991f215e3553cd9fd063a0d,Supplemental Material for : Deep Generative Stochastic Networks Trainable by Backprop,Yoshua Bengio; J. Yosinski,,2014,0,3,0,,https://www.semanticscholar.org/paper/1230423dd04e788ba991f215e3553cd9fd063a0d
135c89b491f82bd4fd7de175ac778207f598342b,Not All Neural Embeddings are Born Equal,Felix Hill; Kyunghyun Cho; Sébastien Jean; Coline Devin; Yoshua Bengio,arXiv.org,2014,52,17,2,,https://www.semanticscholar.org/paper/135c89b491f82bd4fd7de175ac778207f598342b
18758118e78ca7f908021c55196fcba12dbb6283,The Spike-and-Slab RBM and Extensions to Discrete and Sparse Data Distributions,Aaron C. Courville; Guillaume Desjardins; J. Bergstra; Yoshua Bengio,IEEE Transactions on Pattern Analysis and Machine Intelligence,2014,26,51,1,10.1109/TPAMI.2013.238,https://www.semanticscholar.org/paper/18758118e78ca7f908021c55196fcba12dbb6283
1938624bb9b0f999536dcc8d8f519810bb4e1b3b,On Using Very Large Target Vocabulary for Neural Machine Translation,Sébastien Jean; Kyunghyun Cho; R. Memisevic; Yoshua Bengio,Annual Meeting of the Association for Computational Linguistics,2014,1043,22,71,10.3115/v1/P15-1001,https://www.semanticscholar.org/paper/1938624bb9b0f999536dcc8d8f519810bb4e1b3b
1b82d54e9a3b06c603d7987ba3ecf437425f6330,Training deep neural networks with low precision multiplications,Matthieu Courbariaux; Yoshua Bengio; J. David,,2014,609,34,34,,https://www.semanticscholar.org/paper/1b82d54e9a3b06c603d7987ba3ecf437425f6330
1eb09fecd75eb27825dce4f964b97f4f5cc399d7,On the Properties of Neural Machine Translation: Encoder–Decoder Approaches,Kyunghyun Cho; B. V. Merrienboer; Dzmitry Bahdanau; Yoshua Bengio,SSST@EMNLP,2014,7617,15,914,10.3115/v1/W14-4012,https://www.semanticscholar.org/paper/1eb09fecd75eb27825dce4f964b97f4f5cc399d7
35254a19bac666c291646e3640014bf0bb2ce11b,Embedding Word Similarity with Neural Machine Translation,Felix Hill; Kyunghyun Cho; Sébastien Jean; Coline Devin; Yoshua Bengio,International Conference on Learning Representations,2014,64,39,6,,https://www.semanticscholar.org/paper/35254a19bac666c291646e3640014bf0bb2ce11b
47d2dc34e1d02a8109f5c04bb6939725de23716d,End-to-end Continuous Speech Recognition using Attention-based Recurrent NN: First Results,J. Chorowski; Dzmitry Bahdanau; Kyunghyun Cho; Yoshua Bengio,arXiv.org,2014,489,26,24,,https://www.semanticscholar.org/paper/47d2dc34e1d02a8109f5c04bb6939725de23716d
53c887433e4d1b4b7ef78cc8a17bdffcabef40f1,Deep learning and cultural evolution,Yoshua Bengio,Annual Conference on Genetic and Evolutionary Computation,2014,9,0,1,10.1145/2598394.2598395,https://www.semanticscholar.org/paper/53c887433e4d1b4b7ef78cc8a17bdffcabef40f1
54e840c8973db7665a6388b2d992ef08ed7f0260,Ensemble of Generative and Discriminative Techniques for Sentiment Analysis of Movie Reviews,Grégoire Mesnil; Tomas Mikolov; M. Ranzato; Yoshua Bengio,International Conference on Learning Representations,2014,145,10,16,,https://www.semanticscholar.org/paper/54e840c8973db7665a6388b2d992ef08ed7f0260
55af73c07f50da391e63f07646ff02ddc9fe8725,Evolving Culture Versus Local Minima,Yoshua Bengio,Growing Adaptive Machines,2014,43,49,2,10.1007/978-3-642-55337-0_3,https://www.semanticscholar.org/paper/55af73c07f50da391e63f07646ff02ddc9fe8725
6122c95ac6475e965bf4e120f7a588d29bb00ecc,Overcoming the Curse of Sentence Length for Neural Machine Translation using Automatic Segmentation,Jean Pouget-Abadie; Dzmitry Bahdanau; B. V. Merrienboer; Kyunghyun Cho; Yoshua Bengio,SSST@EMNLP,2014,84,13,3,10.3115/v1/W14-4009,https://www.semanticscholar.org/paper/6122c95ac6475e965bf4e120f7a588d29bb00ecc
