id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
07aa07cb6791f336cb32643d54201eab295b2757,A graph placement methodology for fast chip design,Azalia Mirhoseini; Anna Goldie; Mustafa Yazgan; J. Jiang; Ebrahim M. Songhori; Shen Wang; Young-Joon Lee; Eric Johnson; Omkar Pathak; Azade Nazi; Jiwoo Pak; Andy Tong; K. Srinivasa; W. Hang; Emre Tuncer; Quoc V. Le; J. Laudon; Richard Ho; Roger Carpenter; J. Dean,Nature,2021,813,75,53,10.1038/s41586-021-03544-w,https://www.semanticscholar.org/paper/07aa07cb6791f336cb32643d54201eab295b2757
7a16d9b4e04300d034502dc7dd58428714594e2c,Carbon Emissions and Large Neural Network Training,David A. Patterson; Joseph Gonzalez; Quoc V. Le; Chen Liang; Lluís-Miquel Munguía; D. Rothchild; David R. So; Maud Texier; J. Dean,arXiv.org,2021,1238,59,99,,https://www.semanticscholar.org/paper/7a16d9b4e04300d034502dc7dd58428714594e2c
c3df199cbca74763c4ae9889409bbd4aa29b6255,Deep learning-enabled medical computer vision,A. Esteva; Katherine Chou; Serena Yeung; N. Naik; Ali Madani; A. Mottaghi; Yun Liu; E. Topol; J. Dean; R. Socher,npj Digital Medicine,2021,1263,170,35,10.1038/s41746-020-00376-2,https://www.semanticscholar.org/paper/c3df199cbca74763c4ae9889409bbd4aa29b6255
929bf1a2ff229d34f7907886989c621444c2b8fd,Chip Placement with Deep Reinforcement Learning,Azalia Mirhoseini; Anna Goldie; M. Yazgan; J. Jiang; Ebrahim M. Songhori; Shen Wang; Young-Joon Lee; Eric Johnson; Omkar Pathak; Sungmin Bae; Azade Nazi; Jiwoo Pak; Andy Tong; K. Srinivasa; W. Hang; Emre Tuncer; Ananda Babu; Quoc V. Le; J. Laudon; Richard Ho; Roger Carpenter; J. Dean,arXiv.org,2020,258,48,16,,https://www.semanticscholar.org/paper/929bf1a2ff229d34f7907886989c621444c2b8fd
ff56d18c46b6aa3c4fc03927ee0402ae0410522c,Interlocking Backpropagation: Improving depthwise model-parallelism,Aidan N. Gomez; Oscar Key; Stephen Gou; Nick Frosst; J. Dean; Y. Gal,Journal of machine learning research,2020,23,19,1,,https://www.semanticscholar.org/paper/ff56d18c46b6aa3c4fc03927ee0402ae0410522c
ff818b0ca9904936f5473f8fa904c3b585d9438e,Customization scenarios for de-identification of clinical notes,Tzvika Hartman; M. Howell; J. Dean; S. Hoory; Ronit Slyper; Itay Laish; Oren Gilon; Danny Vainstein; G. Corrado; Katherine Chou; M. J. Po; Jutta Williams; S. Ellis; Gavin Bee; Avinatan Hassidim; Rony Amira; Genady Beryozkin; Idan Szpektor; Yossi Matias,BMC Medical Informatics and Decision Making,2020,46,48,1,10.1186/s12911-020-1026-2,https://www.semanticscholar.org/paper/ff818b0ca9904936f5473f8fa904c3b585d9438e
44e1dd74f0446ec91221189ad3a65edb1a0208fe,A guide to deep learning in healthcare,A. Esteva; Alexandre Robicquet; Bharath Ramsundar; Volodymyr Kuleshov; M. DePristo; Katherine Chou; Claire Cui; Greg C. Corrado; S. Thrun; J. Dean,Nature Medicine,2019,4748,64,127,10.1038/s41591-018-0316-z,https://www.semanticscholar.org/paper/44e1dd74f0446ec91221189ad3a65edb1a0208fe
50d1aff2397adda5e43205635a7c8be391f60b05,Deep Learning for Solving Important Problems,J. Dean,The Web Conference,2019,3,0,0,10.1145/3308558.3313785,https://www.semanticscholar.org/paper/50d1aff2397adda5e43205635a7c8be391f60b05
648b5d0b5e10d8be5491ccea59a83eb08ee736ac,SysML: The New Frontier of Machine Learning Systems,Alexander J. Ratner; Dan Alistarh; G. Alonso; D. Andersen; Peter Bailis; Sarah Bird; Nicholas Carlini; Bryan Catanzaro; E. Chung; B. Dally; J. Dean; I. Dhillon; A. Dimakis; P. Dubey; C. Elkan; G. Fursin; G. Ganger; L. Getoor; Phillip B. Gibbons; Garth A. Gibson; Joseph E. Gonzalez; Justin Emile Gottschlich; Song Han; K. Hazelwood; Furong Huang; Martin Jaggi; Kevin G. Jamieson; Michael I. Jordan; Gauri Joshi; R. Khalaf; J. Knight; Jakub Konecný; Tim Kraska; Arun Kumar; Anastasios Kyrillidis; Jing Li; S. Madden; H. B. McMahan; E. Meijer; Ioannis Mitliagkas; R. Monga; D. Murray; Dimitris Papailiopoulos; Gennady Pekhimenko; Theodoros Rekatsinas; A. Rostamizadeh; C. Ré; Christopher De Sa; Hanie Sedghi; S. Sen; Virginia Smith; Alex Smola; D. Song; Evan R. Sparks; Ion Stoica; V. Sze; Madeleine Udell; J. Vanschoren; S. Venkataraman; R. Vinayak; Markus Weimer; A. Wilson; Eric P. Xing; M. Zaharia; Ce Zhang; Ameet Talwalkar,arXiv.org,2019,23,5,1,,https://www.semanticscholar.org/paper/648b5d0b5e10d8be5491ccea59a83eb08ee736ac
89ad343b049031e1016ab10efc16ff7a143fbe6e,MLSys: The New Frontier of Machine Learning Systems,Alexander J. Ratner; Dan Alistarh; G. Alonso; D. Andersen; Peter Bailis; Sarah Bird; Nicholas Carlini; Bryan Catanzaro; J. Chayes; E. Chung; B. Dally; J. Dean; I. Dhillon; A. Dimakis; P. Dubey; C. Elkan; G. Fursin; G. Ganger; L. Getoor; Phillip B. Gibbons; Garth A. Gibson; Joseph E. Gonzalez; Justin Emile Gottschlich; Song Han; K. Hazelwood; Furong Huang; Martin Jaggi; Kevin G. Jamieson; Michael I. Jordan; Gauri Joshi; R. Khalaf; J. Knight; Jakub Konecný; Tim Kraska; Arun Kumar; Anastasios Kyrillidis; Aparna Lakshmiratan; Jing Li; S. Madden; H. B. McMahan; E. Meijer; Ioannis Mitliagkas; R. Monga; D. Murray; K. Olukotun; Dimitris Papailiopoulos; Gennady Pekhimenko; Theodoros Rekatsinas; A. Rostamizadeh; Christopher Ré; Christopher De Sa; Hanie Sedghi; S. Sen; Virginia Smith; Alex Smola; D. Song; Evan R. Sparks; Ion Stoica; V. Sze; Madeleine Udell; J. Vanschoren; S. Venkataraman; R. Vinayak; Markus Weimer; A. Wilson; Eric P. Xing; M. Zaharia; Ce Zhang; Ameet Talwalkar,,2019,25,9,2,,https://www.semanticscholar.org/paper/89ad343b049031e1016ab10efc16ff7a143fbe6e
