id,title,authors,venue,year,citationCount,referenceCount,influentialCitationCount,doi,url
1b6e16cc72aee038eb1879b8686b53776be3d51f,Scaling Monosemanticity: Extracting Interpretable Features from Claude 3 Sonnet,Adly Templeton; Tom Conerly; Jonathan Marcus; Jack Lindsey; Trenton Bricken; Brian K. Chen; Adam Pearce; Craig Citro; E. Ameisen; Andy Jones; Hoagy Cunningham; N. Turner; Callum McDougall; M. MacDiarmid; A. Tamkin; Esin Durmus; Tristan Hume; Francesco Mosconi; C. D. Freeman; T. Sumers; E. Rees; Joshua Batson; Adam S. Jermyn; Shan Carter; Chris Olah; T. Henighan,arXiv.org,2026,799,0,60,10.48550/arXiv.2605.29358,https://www.semanticscholar.org/paper/1b6e16cc72aee038eb1879b8686b53776be3d51f
b23442046f193186e9d1a790785971e25c53d0ad,Emotion Concepts and their Function in a Large Language Model,Nicholas J. Sofroniew; Isaac Kauvar; William Saunders; Runjin Chen; T. Henighan; Sasha Hydrie; Craig Citro; Adam Pearce; Julius Tarng; Wes Gurnee; Joshua Batson; Sam Zimmerman; Kelley Rivoire; Kyle Fish; Chris Olah; Jack Lindsey,arXiv.org,2026,57,0,14,10.48550/arXiv.2604.07729,https://www.semanticscholar.org/paper/b23442046f193186e9d1a790785971e25c53d0ad
57d7977bb8ae533de61a317d907d8fa505ed1af3,Jailbreak Distillation: Renewable Safety Benchmarking,Jing-Yu Zhang; Ahmed Elgohary; Xia-Wei Wang; A. S. M. Iftekhar; Ahmed Magooda; Benjamin Van Durme; Daniel Khashabi; Kyle Jackson,Conference on Empirical Methods in Natural Language Processing,2025,4,50,0,10.48550/arXiv.2505.22037,https://www.semanticscholar.org/paper/57d7977bb8ae533de61a317d907d8fa505ed1af3
